ID,Pred
ID_00006000,cls_6
ID_00006001,cls_2
ID_00006002,cls_3
ID_00006003,cls_4
ID_00006004,cls_6
ID_00006005,cls_2
ID_00006006,cls_1
ID_00006007,cls_6
ID_00006008,cls_2
ID_00006009,cls_3
ID_00006010,cls_4
ID_00006011,cls_3
ID_00006012,cls_1
ID_00006013,cls_3
ID_00006014,cls_4
ID_00006015,cls_3
ID_00006016,cls_6
ID_00006017,cls_4
ID_00006018,cls_3
ID_00006019,cls_6
ID_00006020,cls_2
ID_00006021,cls_4
ID_00006022,cls_5
ID_00006023,cls_6
ID_00006024,cls_6
ID_00006025,cls_1
ID_00006026,cls_2
ID_00006027,cls_5
ID_00006028,cls_6
ID_00006029,cls_1
ID_00006030,cls_1
ID_00006031,cls_4
ID_00006032,cls_6
ID_00006033,cls_5
ID_00006034,cls_3
ID_00006035,cls_3
ID_00006036,cls_1
ID_00006037,cls_3
ID_00006038,cls_2
ID_00006039,cls_5
ID_00006040,cls_2
ID_00006041,cls_6
ID_00006042,cls_3
ID_00006043,cls_5
ID_00006044,cls_4
ID_00006045,cls_1
ID_00006046,cls_4
ID_00006047,cls_2
ID_00006048,cls_2
ID_00006049,cls_6
ID_00006050,cls_3
ID_00006051,cls_1
ID_00006052,cls_4
ID_00006053,cls_5
ID_00006054,cls_5
ID_00006055,cls_3
ID_00006056,cls_3
ID_00006057,cls_4
ID_00006058,cls_3
ID_00006059,cls_2
ID_00006060,cls_4
ID_00006061,cls_6
ID_00006062,cls_1
ID_00006063,cls_2
ID_00006064,cls_2
ID_00006065,cls_1
ID_00006066,cls_6
ID_00006067,cls_5
ID_00006068,cls_1
ID_00006069,cls_2
ID_00006070,cls_4
ID_00006071,cls_6
ID_00006072,cls_4
ID_00006073,cls_1
ID_00006074,cls_6
ID_00006075,cls_2
ID_00006076,cls_2
ID_00006077,cls_2
ID_00006078,cls_4
ID_00006079,cls_5
ID_00006080,cls_4
ID_00006081,cls_5
ID_00006082,cls_2
ID_00006083,cls_1
ID_00006084,cls_5
ID_00006085,cls_1
ID_00006086,cls_1
ID_00006087,cls_3
ID_00006088,cls_6
ID_00006089,cls_1
ID_00006090,cls_4
ID_00006091,cls_2
ID_00006092,cls_6
ID_00006093,cls_1
ID_00006094,cls_3
ID_00006095,cls_5
ID_00006096,cls_2
ID_00006097,cls_5
ID_00006098,cls_3
ID_00006099,cls_4
ID_00006100,cls_1
ID_00006101,cls_2
ID_00006102,cls_2
ID_00006103,cls_1
ID_00006104,cls_3
ID_00006105,cls_2
ID_00006106,cls_3
ID_00006107,cls_2
ID_00006108,cls_1
ID_00006109,cls_4
ID_00006110,cls_3
ID_00006111,cls_3
ID_00006112,cls_2
ID_00006113,cls_5
ID_00006114,cls_6
ID_00006115,cls_1
ID_00006116,cls_5
ID_00006117,cls_5
ID_00006118,cls_6
ID_00006119,cls_4
ID_00006120,cls_4
ID_00006121,cls_1
ID_00006122,cls_4
ID_00006123,cls_1
ID_00006124,cls_1
ID_00006125,cls_4
ID_00006126,cls_4
ID_00006127,cls_3
ID_00006128,cls_6
ID_00006129,cls_6
ID_00006130,cls_1
ID_00006131,cls_6
ID_00006132,cls_5
ID_00006133,cls_4
ID_00006134,cls_2
ID_00006135,cls_5
ID_00006136,cls_1
ID_00006137,cls_6
ID_00006138,cls_3
ID_00006139,cls_5
